Library,Ordinal,Name,ReferenceExportKind,ModuleCount,Modules
GDI,24,Ellipse,pascal,12,Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Marbles.ad; Punch Out.ad; Shapes.ad; Stained Glass.ad; Vertigo.ad
GDI,26,Pie,pascal,1,Vertigo.ad
GDI,27,Rectangle,pascal,4,Fade Away.ad; Punch Out.ad; Shapes.ad; Vertigo.ad
GDI,29,PatBlt,pascal,5,Can of Worms.ad; Fade Away.ad; Globe.ad; Gravity.ad; Hall of Mirrors.ad
GDI,31,SetPixel,pascal,1,Stained Glass.ad
GDI,33,TextOut,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,34,BitBlt,pascal,13,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; GeoBounce.ad; Globe.ad; Gravity.ad; Hall of Mirrors.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Stained Glass.ad; Swan Lake.ad
GDI,35,StretchBlt,pascal,1,Stained Glass.ad
GDI,36,Polygon,pascal,2,GeoBounce.ad; Mountains.ad
GDI,37,Polyline,pascal,2,Mountains.ad; Penrose.ad
GDI,40,FillRgn,pascal,2,Down the Drain.ad; Penrose.ad
GDI,41,FrameRgn,pascal,1,Penrose.ad
GDI,44,SelectClipRgn,pascal,2,Penrose.ad; Punch Out.ad
GDI,45,SelectObject,pascal,27,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,47,CombineRgn,pascal,2,Down the Drain.ad; Penrose.ad
GDI,48,CreateBitmap,pascal,1,Aquatic Realm.ad.dll
GDI,51,CreateCompatibleBitmap,pascal,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Punch Out.ad; Swan Lake.ad
GDI,52,CreateCompatibleDC,pascal,7,Can of Worms.ad; Down the Drain.ad; GeoBounce.ad; Globe.ad; Gravity.ad; Nocturnes.ad; Punch Out.ad
GDI,55,CreateEllipticRgnIndirect,pascal,2,Penrose.ad; Punch Out.ad
GDI,57,CreateFontIndirect,pascal,1,GraphStat.ad
GDI,61,CreatePen,pascal,16,Clocks.ad; Fade Away.ad; GraphStat.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Mountains.ad; Penrose.ad; Rainstorm.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,63,CreatePolygonRgn,pascal,1,Penrose.ad
